Year,Month,City,Manufacturer,Vehicle Model,Units Sold,Speed (km/h),Range (km/charge),Price (INR)
2019,May,Kolkata,Ather,Photon HX,1665,67,68,113097
2019,May,Kolkata,Ather,Chetak,4136,64,109,67225
2019,May,Kolkata,Ather,iQube,3950,42,77,89783
2019,May,Kolkata,Ola Electric,450X,3806,81,87,71887
2019,May,Kolkata,Ola Electric,S1 Pro,2671,47,103,85787
2019,May,Kolkata,Ola Electric,Photon HX,301,41,119,145102
2019,May,Kolkata,Ola Electric,Chetak,3180,58,55,93901
2019,May,Kolkata,Ola Electric,iQube,2785,72,63,59260
2019,May,Kolkata,Hero Electric,450X,4226,88,123,51172
2019,May,Kolkata,Hero Electric,S1 Pro,4557,45,109,59177
2019,May,Kolkata,Hero Electric,Photon HX,3141,45,109,140826
2019,May,Kolkata,Hero Electric,Chetak,2063,65,103,78231
2019,May,Kolkata,Hero Electric,iQube,385,87,94,103973
2019,May,Kolkata,Bajaj,450X,4845,90,122,93567
2019,May,Kolkata,Bajaj,S1 Pro,3485,99,107,52823
2019,May,Kolkata,Bajaj,Photon HX,4025,82,118,138452
2019,May,Kolkata,Bajaj,Chetak,1713,92,55,85114
2019,May,Kolkata,Bajaj,iQube,4965,81,78,67320
2019,May,Kolkata,TVS,450X,1909,82,73,139594
2019,May,Kolkata,TVS,S1 Pro,108,100,97,131923
2019,May,Kolkata,TVS,Photon HX,1499,80,95,72175
2019,May,Kolkata,TVS,Chetak,4464,71,58,84935
2019,May,Kolkata,TVS,iQube,4957,83,114,62426
2019,Jun,Mumbai,Ather,450X,2666,89,57,107148
2019,Jun,Mumbai,Ather,S1 Pro,1666,87,110,136756
2019,Jun,Mumbai,Ather,Photon HX,1669,43,76,100362
2019,Jun,Mumbai,Ather,Chetak,1100,77,110,91382
2019,Jun,Mumbai,Ather,iQube,2806,99,90,143398
2019,Jun,Mumbai,Ola Electric,450X,435,64,89,121384
2019,Jun,Mumbai,Ola Electric,S1 Pro,4179,90,79,141271
2019,Jun,Mumbai,Ola Electric,Photon HX,2120,66,80,131260
2019,Jun,Mumbai,Ola Electric,Chetak,3030,57,102,51834
2019,Jun,Mumbai,Ola Electric,iQube,1181,42,85,139045
2019,Jun,Mumbai,Hero Electric,450X,1973,87,115,61767
2019,Jun,Mumbai,Hero Electric,S1 Pro,957,88,99,87256
2019,Jun,Mumbai,Hero Electric,Photon HX,1030,60,127,127514
2019,Jun,Mumbai,Hero Electric,Chetak,4309,97,105,132114
2019,Jun,Mumbai,Hero Electric,iQube,220,100,67,132831
2019,Jun,Mumbai,Bajaj,450X,3169,46,92,107583
2019,Jun,Mumbai,Bajaj,S1 Pro,1834,87,85,149195
2019,Jun,Mumbai,Bajaj,Photon HX,2976,69,92,107921
2019,Jun,Mumbai,Bajaj,Chetak,3618,44,108,139764
2019,Jun,Mumbai,Bajaj,iQube,3743,74,62,133824
2019,Jun,Mumbai,TVS,450X,4024,59,109,58320
2019,Jun,Mumbai,TVS,S1 Pro,3098,53,72,91798
2019,Jun,Mumbai,TVS,Photon HX,749,98,59,54721
2019,Jun,Mumbai,TVS,Chetak,750,95,108,143001
2019,Jun,Mumbai,TVS,iQube,3629,96,61,128607
2019,Jun,Delhi,Ather,450X,2199,100,99,49198
2019,Jun,Delhi,Ather,S1 Pro,2662,46,107,88050
2019,Jun,Delhi,Ather,Photon HX,545,51,73,80642
2019,Jun,Delhi,Ather,Chetak,298,53,122,130107
2019,Jun,Delhi,Ather,iQube,4012,78,102,57925
2019,Jun,Delhi,Ola Electric,450X,3923,66,98,131143
2019,Jun,Delhi,Ola Electric,S1 Pro,3396,71,79,148748
2019,Jun,Delhi,Ola Electric,Photon HX,154,46,80,66219
2019,Jun,Delhi,Ola Electric,Chetak,3358,80,111,69542
2019,Jun,Delhi,Ola Electric,iQube,3945,100,67,64925
2019,Jun,Delhi,Hero Electric,450X,4051,87,92,140049
2019,Jun,Delhi,Hero Electric,S1 Pro,1766,53,119,113032
2019,Jun,Delhi,Hero Electric,Photon HX,2257,92,80,81317
2019,Jun,Delhi,Hero Electric,Chetak,2550,53,98,77442
2019,Jun,Delhi,Hero Electric,iQube,4767,69,96,142098
2019,Jun,Delhi,Bajaj,450X,605,73,63,77013
2019,Jun,Delhi,Bajaj,S1 Pro,1976,93,102,74426
2019,Jun,Delhi,Bajaj,Photon HX,130,54,63,122420
2019,Jun,Delhi,Bajaj,Chetak,712,71,69,117781
2019,Jun,Delhi,Bajaj,iQube,1348,42,71,146785
2019,Jun,Delhi,TVS,450X,2750,50,89,119574
2019,Jun,Delhi,TVS,S1 Pro,1208,41,99,45813
2019,Jun,Delhi,TVS,Photon HX,1734,45,106,110676
2019,Jun,Delhi,TVS,Chetak,1666,75,89,125273
2019,Jun,Delhi,TVS,iQube,2294,51,99,129512
2019,Jun,Bangalore,Ather,450X,1680,49,55,100717
2019,Jun,Bangalore,Ather,S1 Pro,954,87,117,129969
2019,Jun,Bangalore,Ather,Photon HX,361,42,60,124712
2019,Jun,Bangalore,Ather,Chetak,3505,86,60,119368
2019,Jun,Bangalore,Ather,iQube,2427,67,70,50017
2019,Jun,Bangalore,Ola Electric,450X,1415,78,76,139831
2019,Jun,Bangalore,Ola Electric,S1 Pro,4443,85,115,102314
2019,Jun,Bangalore,Ola Electric,Photon HX,125,96,126,75873
2019,Jun,Bangalore,Ola Electric,Chetak,2845,79,78,129080
2019,Jun,Bangalore,Ola Electric,iQube,1319,69,113,124353
2019,Jun,Bangalore,Hero Electric,450X,4204,89,95,61602
2019,Jun,Bangalore,Hero Electric,S1 Pro,4917,62,82,118900
2019,Jun,Bangalore,Hero Electric,Photon HX,1571,59,113,116039
2019,Jun,Bangalore,Hero Electric,Chetak,3421,60,97,84948
2019,Jun,Bangalore,Hero Electric,iQube,3612,100,106,107692
2019,Jun,Bangalore,Bajaj,450X,4588,40,117,139636
2019,Jun,Bangalore,Bajaj,S1 Pro,2198,80,80,142133
2019,Jun,Bangalore,Bajaj,Photon HX,3690,85,125,120285
2019,Jun,Bangalore,Bajaj,Chetak,1320,99,109,45106
2019,Jun,Bangalore,Bajaj,iQube,485,49,80,90262
2019,Jun,Bangalore,TVS,450X,843,60,76,131204
2019,Jun,Bangalore,TVS,S1 Pro,2193,81,59,74653
2019,Jun,Bangalore,TVS,Photon HX,2466,91,84,135223
2019,Jun,Bangalore,TVS,Chetak,1879,56,125,51478
2019,Jun,Bangalore,TVS,iQube,4111,80,87,86116
2019,Jun,Chennai,Ather,450X,2283,62,84,101571
2019,Jun,Chennai,Ather,S1 Pro,1626,67,110,125380
2019,Jun,Chennai,Ather,Photon HX,4839,51,98,70781
2019,Jun,Chennai,Ather,Chetak,1569,60,89,98182
2019,Jun,Chennai,Ather,iQube,3360,68,87,70739
2019,Jun,Chennai,Ola Electric,450X,377,80,110,71391
2019,Jun,Chennai,Ola Electric,S1 Pro,2788,95,80,148748
2019,Jun,Chennai,Ola Electric,Photon HX,3718,63,61,71777
2019,Jun,Chennai,Ola Electric,Chetak,1607,59,77,106760
2019,Jun,Chennai,Ola Electric,iQube,4248,64,62,133570
2019,Jun,Chennai,Hero Electric,450X,4669,98,83,65837
2019,Jun,Chennai,Hero Electric,S1 Pro,124,78,125,122156
2019,Jun,Chennai,Hero Electric,Photon HX,2189,62,70,96737
2019,Jun,Chennai,Hero Electric,Chetak,3483,52,105,103509
2019,Jun,Chennai,Hero Electric,iQube,956,43,125,67293
2019,Jun,Chennai,Bajaj,450X,1547,100,113,103024
2019,Jun,Chennai,Bajaj,S1 Pro,3738,44,109,87198
2019,Jun,Chennai,Bajaj,Photon HX,1351,71,95,45451
2019,Jun,Chennai,Bajaj,Chetak,4520,45,61,62076
2019,Jun,Chennai,Bajaj,iQube,2675,91,89,145953
2019,Jun,Chennai,TVS,450X,1896,71,123,104951
2019,Jun,Chennai,TVS,S1 Pro,2182,62,86,111538
2019,Jun,Chennai,TVS,Photon HX,805,88,116,105694
2019,Jun,Chennai,TVS,Chetak,3749,56,84,114241
2019,Jun,Chennai,TVS,iQube,3986,47,62,86764
2019,Jun,Kolkata,Ather,450X,3932,78,109,60208
2019,Jun,Kolkata,Ather,S1 Pro,3921,89,79,136446
2019,Jun,Kolkata,Ather,Photon HX,4975,52,127,142787
2019,Jun,Kolkata,Ather,Chetak,3014,83,121,146161
2019,Jun,Kolkata,Ather,iQube,4583,47,82,100496
2019,Jun,Kolkata,Ola Electric,450X,4279,54,91,79317
2019,Jun,Kolkata,Ola Electric,S1 Pro,117,74,60,105238
2019,Jun,Kolkata,Ola Electric,Photon HX,3434,56,117,114927
2019,Jun,Kolkata,Ola Electric,Chetak,4292,51,117,144660
2019,Jun,Kolkata,Ola Electric,iQube,910,100,64,123076
2019,Jun,Kolkata,Hero Electric,450X,2210,48,102,50064
2019,Jun,Kolkata,Hero Electric,S1 Pro,3562,84,57,146195
2019,Jun,Kolkata,Hero Electric,Photon HX,4207,87,77,147781
2019,Jun,Kolkata,Hero Electric,Chetak,4781,43,73,119146
2019,Jun,Kolkata,Hero Electric,iQube,4233,100,69,54107
2019,Jun,Kolkata,Bajaj,450X,3059,64,71,145532
2019,Jun,Kolkata,Bajaj,S1 Pro,4471,55,107,128177
2019,Jun,Kolkata,Bajaj,Photon HX,2634,98,83,101207
2019,Jun,Kolkata,Bajaj,Chetak,2564,57,56,123657
2019,Jun,Kolkata,Bajaj,iQube,1777,98,57,59381
2019,Jun,Kolkata,TVS,450X,1059,40,84,92729
2019,Jun,Kolkata,TVS,S1 Pro,957,51,91,75977
2019,Jun,Kolkata,TVS,Photon HX,2259,100,121,81161
2019,Jun,Kolkata,TVS,Chetak,3734,96,102,94124
2019,Jun,Kolkata,TVS,iQube,3396,99,68,144692
2019,Jul,Mumbai,Ather,450X,1692,63,74,62210
2019,Jul,Mumbai,Ather,S1 Pro,1015,83,68,102038
2019,Jul,Mumbai,Ather,Photon HX,464,82,118,137487
2019,Jul,Mumbai,Ather,Chetak,4076,74,104,121083
2019,Jul,Mumbai,Ather,iQube,3841,77,81,68372
2019,Jul,Mumbai,Ola Electric,450X,894,61,109,64430
2019,Jul,Mumbai,Ola Electric,S1 Pro,135,84,124,104318
2019,Jul,Mumbai,Ola Electric,Photon HX,607,44,91,113448
2019,Jul,Mumbai,Ola Electric,Chetak,2083,88,94,105103
2019,Jul,Mumbai,Ola Electric,iQube,4810,71,102,81372
2019,Jul,Mumbai,Hero Electric,450X,4646,98,115,114167
2019,Jul,Mumbai,Hero Electric,S1 Pro,3193,76,89,49186
2019,Jul,Mumbai,Hero Electric,Photon HX,4409,69,123,73724
2019,Jul,Mumbai,Hero Electric,Chetak,2504,67,85,109842
2019,Jul,Mumbai,Hero Electric,iQube,976,78,103,130806
2019,Jul,Mumbai,Bajaj,450X,3514,49,121,132113
2019,Jul,Mumbai,Bajaj,S1 Pro,4237,60,95,127318
2019,Jul,Mumbai,Bajaj,Photon HX,3078,92,84,120669
2019,Jul,Mumbai,Bajaj,Chetak,3690,76,124,59000
2019,Jul,Mumbai,Bajaj,iQube,2822,61,66,95571
2019,Jul,Mumbai,TVS,450X,4846,52,60,123277
2019,Jul,Mumbai,TVS,S1 Pro,4853,63,65,86240
2019,Jul,Mumbai,TVS,Photon HX,4208,84,74,107409
2019,Jul,Mumbai,TVS,Chetak,3184,61,103,95815
2019,Jul,Mumbai,TVS,iQube,237,81,103,149922
2019,Jul,Delhi,Ather,450X,3766,73,114,74434
2019,Jul,Delhi,Ather,S1 Pro,2321,66,117,130597
2019,Jul,Delhi,Ather,Photon HX,1880,76,83,61807
2019,Jul,Delhi,Ather,Chetak,3310,63,107,141330
2019,Jul,Delhi,Ather,iQube,1447,97,61,101164
2019,Jul,Delhi,Ola Electric,450X,4846,93,85,110348
2019,Jul,Delhi,Ola Electric,S1 Pro,3515,67,93,128453
2019,Jul,Delhi,Ola Electric,Photon HX,2589,75,90,70217
2019,Jul,Delhi,Ola Electric,Chetak,3665,74,101,63521
2019,Jul,Delhi,Ola Electric,iQube,1799,83,121,72479
2019,Jul,Delhi,Hero Electric,450X,1876,49,96,80758
2019,Jul,Delhi,Hero Electric,S1 Pro,3616,65,96,145958
2019,Jul,Delhi,Hero Electric,Photon HX,3203,63,62,82848
2019,Jul,Delhi,Hero Electric,Chetak,4230,63,117,123276
2019,Jul,Delhi,Hero Electric,iQube,2885,90,120,77480
2019,Jul,Delhi,Bajaj,450X,2903,46,123,55651
2019,Jul,Delhi,Bajaj,S1 Pro,4413,63,99,56563
2019,Jul,Delhi,Bajaj,Photon HX,1741,96,66,89331
2019,Jul,Delhi,Bajaj,Chetak,1933,81,112,77610
2019,Jul,Delhi,Bajaj,iQube,149,72,111,73611
2019,Jul,Delhi,TVS,450X,3041,40,92,106617
2019,Jul,Delhi,TVS,S1 Pro,4059,50,74,110495
2019,Jul,Delhi,TVS,Photon HX,1118,83,75,133365
2019,Jul,Delhi,TVS,Chetak,3454,40,106,64094
2019,Jul,Delhi,TVS,iQube,1197,63,56,128484
2019,Jul,Bangalore,Ather,450X,4340,99,126,105082
2019,Jul,Bangalore,Ather,S1 Pro,1103,95,108,97400
2019,Jul,Bangalore,Ather,Photon HX,2868,87,104,145573
2019,Jul,Bangalore,Ather,Chetak,534,75,67,47182
2019,Jul,Bangalore,Ather,iQube,4629,86,123,53206
2019,Jul,Bangalore,Ola Electric,450X,3674,93,106,138752
2019,Jul,Bangalore,Ola Electric,S1 Pro,1697,82,81,110763
2019,Jul,Bangalore,Ola Electric,Photon HX,1636,89,92,47307
2019,Jul,Bangalore,Ola Electric,Chetak,3819,91,122,105079
2019,Jul,Bangalore,Ola Electric,iQube,1844,94,119,108854
2019,Jul,Bangalore,Hero Electric,450X,1393,43,127,133634
2019,Jul,Bangalore,Hero Electric,S1 Pro,284,50,80,78386
2019,Jul,Bangalore,Hero Electric,Photon HX,290,56,64,130168
2019,Jul,Bangalore,Hero Electric,Chetak,3810,62,55,138231
2019,Jul,Bangalore,Hero Electric,iQube,3626,97,104,49609
2019,Jul,Bangalore,Bajaj,450X,3014,73,99,86140
2019,Jul,Bangalore,Bajaj,S1 Pro,1866,76,57,73559
2019,Jul,Bangalore,Bajaj,Photon HX,194,76,123,110414
2019,Jul,Bangalore,Bajaj,Chetak,3251,40,92,70690
2019,Jul,Bangalore,Bajaj,iQube,4430,68,77,92521
2019,Jul,Bangalore,TVS,450X,3613,52,71,51302
2019,Jul,Bangalore,TVS,S1 Pro,2384,79,64,149379
2019,Jul,Bangalore,TVS,Photon HX,2974,51,70,52252
2019,Jul,Bangalore,TVS,Chetak,3422,58,55,89080
2019,Jul,Bangalore,TVS,iQube,2197,82,93,103450
2019,Jul,Chennai,Ather,450X,1298,73,101,120382
2019,Jul,Chennai,Ather,S1 Pro,111,45,59,88898
2019,Jul,Chennai,Ather,Photon HX,2811,45,119,141797
2019,Jul,Chennai,Ather,Chetak,2763,52,68,65559
2019,Jul,Chennai,Ather,iQube,247,79,106,129826
2019,Jul,Chennai,Ola Electric,450X,4776,70,85,108557
2019,Jul,Chennai,Ola Electric,S1 Pro,3401,48,109,73131
2019,Jul,Chennai,Ola Electric,Photon HX,2893,55,89,136447
2019,Jul,Chennai,Ola Electric,Chetak,306,41,94,105872
2019,Jul,Chennai,Ola Electric,iQube,2503,85,78,82830
2019,Jul,Chennai,Hero Electric,450X,4158,69,72,60259
2019,Jul,Chennai,Hero Electric,S1 Pro,591,61,85,85483
2019,Jul,Chennai,Hero Electric,Photon HX,3315,79,75,84813
2019,Jul,Chennai,Hero Electric,Chetak,4361,50,93,65383
2019,Jul,Chennai,Hero Electric,iQube,1849,73,81,107480
2019,Jul,Chennai,Bajaj,450X,2843,79,65,48669
2019,Jul,Chennai,Bajaj,S1 Pro,3940,91,105,53959
2019,Jul,Chennai,Bajaj,Photon HX,4265,50,64,54852
2019,Jul,Chennai,Bajaj,Chetak,493,80,63,81805
2019,Jul,Chennai,Bajaj,iQube,2713,72,68,148494
2019,Jul,Chennai,TVS,450X,591,49,115,93229
2019,Jul,Chennai,TVS,S1 Pro,2212,96,125,94892
2019,Jul,Chennai,TVS,Photon HX,679,52,68,91874
2019,Jul,Chennai,TVS,Chetak,1439,72,110,130633
2019,Jul,Chennai,TVS,iQube,4500,67,67,119568
2019,Jul,Kolkata,Ather,450X,146,98,69,107572
2019,Jul,Kolkata,Ather,S1 Pro,154,73,72,85271
2019,Jul,Kolkata,Ather,Photon HX,4227,41,122,118949
2019,Jul,Kolkata,Ather,Chetak,1233,50,92,125642
2019,Jul,Kolkata,Ather,iQube,2359,88,97,121322
2019,Jul,Kolkata,Ola Electric,450X,3886,85,70,135495
2019,Jul,Kolkata,Ola Electric,S1 Pro,2274,68,93,114908
2019,Jul,Kolkata,Ola Electric,Photon HX,696,60,120,90922
2019,Jul,Kolkata,Ola Electric,Chetak,365,46,123,123011
2019,Jul,Kolkata,Ola Electric,iQube,3051,61,60,85353
2019,Jul,Kolkata,Hero Electric,450X,1085,48,116,118881
2019,Jul,Kolkata,Hero Electric,S1 Pro,3431,77,114,82423
2019,Jul,Kolkata,Hero Electric,Photon HX,3978,81,110,108229
2019,Jul,Kolkata,Hero Electric,Chetak,214,94,86,128497
2019,Jul,Kolkata,Hero Electric,iQube,4027,62,116,70542
2019,Jul,Kolkata,Bajaj,450X,4539,53,76,61805
2019,Jul,Kolkata,Bajaj,S1 Pro,3082,59,104,94671
2019,Jul,Kolkata,Bajaj,Photon HX,1442,67,101,66819
2019,Jul,Kolkata,Bajaj,Chetak,3055,65,105,130206
2019,Jul,Kolkata,Bajaj,iQube,4193,59,81,112081
2019,Jul,Kolkata,TVS,450X,3343,50,118,77814
2019,Jul,Kolkata,TVS,S1 Pro,2294,66,122,106699
2019,Jul,Kolkata,TVS,Photon HX,2316,51,117,128991
2019,Jul,Kolkata,TVS,Chetak,3028,77,112,114405
2019,Jul,Kolkata,TVS,iQube,4508,54,110,124123
2019,Aug,Mumbai,Ather,450X,1341,76,55,107341
2019,Aug,Mumbai,Ather,S1 Pro,1445,72,59,118190
2019,Aug,Mumbai,Ather,Photon HX,765,96,64,99526
2019,Aug,Mumbai,Ather,Chetak,4532,62,118,134696
2019,Aug,Mumbai,Ather,iQube,4448,52,56,61036
2019,Aug,Mumbai,Ola Electric,450X,537,70,101,131848
2019,Aug,Mumbai,Ola Electric,S1 Pro,1279,53,121,128446
2019,Aug,Mumbai,Ola Electric,Photon HX,1447,58,82,66045
2019,Aug,Mumbai,Ola Electric,Chetak,2945,55,98,95791
2019,Aug,Mumbai,Ola Electric,iQube,4696,92,113,121198
2019,Aug,Mumbai,Hero Electric,450X,4022,55,118,47238
2019,Aug,Mumbai,Hero Electric,S1 Pro,2400,89,121,63719
2019,Aug,Mumbai,Hero Electric,Photon HX,1780,47,62,140059
2019,Aug,Mumbai,Hero Electric,Chetak,4088,70,107,66429
2019,Aug,Mumbai,Hero Electric,iQube,249,47,82,129927
2019,Aug,Mumbai,Bajaj,450X,3078,98,113,67675
2019,Aug,Mumbai,Bajaj,S1 Pro,1246,46,92,81448
2019,Aug,Mumbai,Bajaj,Photon HX,1277,87,117,139023
2019,Aug,Mumbai,Bajaj,Chetak,1979,70,61,94906
2019,Aug,Mumbai,Bajaj,iQube,1889,91,104,102988
2019,Aug,Mumbai,TVS,450X,1353,92,108,68292
2019,Aug,Mumbai,TVS,S1 Pro,4957,86,79,50584
2019,Aug,Mumbai,TVS,Photon HX,782,76,80,135173
2019,Aug,Mumbai,TVS,Chetak,2864,64,84,97687
2019,Aug,Mumbai,TVS,iQube,4293,41,91,82944
2019,Aug,Delhi,Ather,450X,3062,79,65,65704
2019,Aug,Delhi,Ather,S1 Pro,3960,78,63,56797
2019,Aug,Delhi,Ather,Photon HX,4048,87,120,87863
2019,Aug,Delhi,Ather,Chetak,1069,78,71,111684
2019,Aug,Delhi,Ather,iQube,2542,84,108,72078
2019,Aug,Delhi,Ola Electric,450X,4758,89,100,103888
2019,Aug,Delhi,Ola Electric,S1 Pro,3746,97,79,139298
2019,Aug,Delhi,Ola Electric,Photon HX,2547,69,87,135550
2019,Aug,Delhi,Ola Electric,Chetak,4527,49,90,129688
2019,Aug,Delhi,Ola Electric,iQube,1466,78,109,70386
2019,Aug,Delhi,Hero Electric,450X,2818,82,57,140268
2019,Aug,Delhi,Hero Electric,S1 Pro,2469,76,89,123059
2019,Aug,Delhi,Hero Electric,Photon HX,152,51,106,51549
2019,Aug,Delhi,Hero Electric,Chetak,3998,100,63,128341
2019,Aug,Delhi,Hero Electric,iQube,1374,48,76,123174
2019,Aug,Delhi,Bajaj,450X,2812,93,111,51318
2019,Aug,Delhi,Bajaj,S1 Pro,1953,81,63,116469
2019,Aug,Delhi,Bajaj,Photon HX,2701,67,113,91966
2019,Aug,Delhi,Bajaj,Chetak,2583,66,103,118712
2019,Aug,Delhi,Bajaj,iQube,3684,69,93,124383
2019,Aug,Delhi,TVS,450X,3821,56,123,98206
2019,Aug,Delhi,TVS,S1 Pro,4479,64,82,144324
2019,Aug,Delhi,TVS,Photon HX,2397,68,125,75404
2019,Aug,Delhi,TVS,Chetak,2977,59,81,99820
2019,Aug,Delhi,TVS,iQube,483,74,119,131921
2019,Aug,Bangalore,Ather,450X,2095,60,87,137666
2019,Aug,Bangalore,Ather,S1 Pro,4843,91,105,55549
2019,Aug,Bangalore,Ather,Photon HX,947,48,103,130731
2019,Aug,Bangalore,Ather,Chetak,2228,42,76,65223
2019,Aug,Bangalore,Ather,iQube,3401,83,109,63366
2019,Aug,Bangalore,Ola Electric,450X,2751,85,116,111791
2019,Aug,Bangalore,Ola Electric,S1 Pro,585,68,112,54170
2019,Aug,Bangalore,Ola Electric,Photon HX,2063,86,102,49699
2019,Aug,Bangalore,Ola Electric,Chetak,657,76,59,105298
2019,Aug,Bangalore,Ola Electric,iQube,1979,91,114,51810
2019,Aug,Bangalore,Hero Electric,450X,957,72,57,110003
2019,Aug,Bangalore,Hero Electric,S1 Pro,4285,85,80,126174
2019,Aug,Bangalore,Hero Electric,Photon HX,3117,41,104,51575
2019,Aug,Bangalore,Hero Electric,Chetak,3717,85,81,46884
2019,Aug,Bangalore,Hero Electric,iQube,3705,41,103,113693
2019,Aug,Bangalore,Bajaj,450X,3906,43,101,87517
2019,Aug,Bangalore,Bajaj,S1 Pro,1724,59,105,129544
2019,Aug,Bangalore,Bajaj,Photon HX,4067,71,113,81655
2019,Aug,Bangalore,Bajaj,Chetak,4809,86,79,59962
2019,Aug,Bangalore,Bajaj,iQube,1703,42,106,65197
2019,Aug,Bangalore,TVS,450X,166,86,123,50822
2019,Aug,Bangalore,TVS,S1 Pro,1682,79,119,144648
2019,Aug,Bangalore,TVS,Photon HX,4239,59,102,60880
2019,Aug,Bangalore,TVS,Chetak,3924,48,95,136957
2019,Aug,Bangalore,TVS,iQube,307,88,59,112234
2019,Aug,Chennai,Ather,450X,2871,71,78,94165
2019,Aug,Chennai,Ather,S1 Pro,3644,68,86,77039
2019,Aug,Chennai,Ather,Photon HX,4863,58,113,76333
2019,Aug,Chennai,Ather,Chetak,4019,96,79,70877
2019,Aug,Chennai,Ather,iQube,983,50,125,109042
2019,Aug,Chennai,Ola Electric,450X,4248,43,86,96044
2019,Aug,Chennai,Ola Electric,S1 Pro,4292,43,123,57169
2019,Aug,Chennai,Ola Electric,Photon HX,4899,41,95,135598
2019,Aug,Chennai,Ola Electric,Chetak,627,40,120,61070
2019,Aug,Chennai,Ola Electric,iQube,1544,86,72,104890
2019,Aug,Chennai,Hero Electric,450X,3816,72,83,138153
2019,Aug,Chennai,Hero Electric,S1 Pro,3110,78,56,56419
2019,Aug,Chennai,Hero Electric,Photon HX,3643,90,57,131475
2019,Aug,Chennai,Hero Electric,Chetak,3625,86,107,130361
2019,Aug,Chennai,Hero Electric,iQube,4393,92,56,103873
2019,Aug,Chennai,Bajaj,450X,3959,47,79,57083
2019,Aug,Chennai,Bajaj,S1 Pro,1485,54,98,141005
2019,Aug,Chennai,Bajaj,Photon HX,2856,71,68,46484
2019,Aug,Chennai,Bajaj,Chetak,3691,99,58,53304
2019,Aug,Chennai,Bajaj,iQube,2582,99,107,142410
2019,Aug,Chennai,TVS,450X,169,81,63,90289
2019,Aug,Chennai,TVS,S1 Pro,2554,94,59,138088
2019,Aug,Chennai,TVS,Photon HX,230,48,116,89413
2019,Aug,Chennai,TVS,Chetak,914,69,96,55620
2019,Aug,Chennai,TVS,iQube,206,82,91,106364
2019,Aug,Kolkata,Ather,450X,4765,100,80,126924
2019,Aug,Kolkata,Ather,S1 Pro,4846,93,119,68219
2019,Aug,Kolkata,Ather,Photon HX,4454,51,121,83837
2019,Aug,Kolkata,Ather,Chetak,3465,43,119,118446
2019,Aug,Kolkata,Ather,iQube,4062,74,77,49954
2019,Aug,Kolkata,Ola Electric,450X,1395,97,67,149321
2019,Aug,Kolkata,Ola Electric,S1 Pro,3443,68,56,69674
2019,Aug,Kolkata,Ola Electric,Photon HX,1827,86,61,107016
2019,Aug,Kolkata,Ola Electric,Chetak,2215,72,117,70348
2019,Aug,Kolkata,Ola Electric,iQube,3091,78,118,78600
2019,Aug,Kolkata,Hero Electric,450X,1002,73,111,92649
2019,Aug,Kolkata,Hero Electric,S1 Pro,1682,94,77,62142
2019,Aug,Kolkata,Hero Electric,Photon HX,2109,58,82,93613
2019,Aug,Kolkata,Hero Electric,Chetak,3210,95,70,79081
2019,Aug,Kolkata,Hero Electric,iQube,2110,58,101,81990
2019,Aug,Kolkata,Bajaj,450X,1670,70,115,123549
2019,Aug,Kolkata,Bajaj,S1 Pro,2227,70,62,122083
2019,Aug,Kolkata,Bajaj,Photon HX,1721,86,69,60894
2019,Aug,Kolkata,Bajaj,Chetak,2113,50,80,84330
2019,Aug,Kolkata,Bajaj,iQube,4204,74,121,124238
2019,Aug,Kolkata,TVS,450X,4916,54,89,104203
2019,Aug,Kolkata,TVS,S1 Pro,1246,71,98,74461
2019,Aug,Kolkata,TVS,Photon HX,2122,66,57,89430
2019,Aug,Kolkata,TVS,Chetak,835,59,62,49189
2019,Aug,Kolkata,TVS,iQube,3809,40,63,132388
2019,Sep,Mumbai,Ather,450X,1323,99,104,123089
2019,Sep,Mumbai,Ather,S1 Pro,3577,42,64,121662
2019,Sep,Mumbai,Ather,Photon HX,4008,90,75,101503
2019,Sep,Mumbai,Ather,Chetak,3950,42,67,120551
2019,Sep,Mumbai,Ather,iQube,1952,79,68,74798
2019,Sep,Mumbai,Ola Electric,450X,4791,59,109,95903
2019,Sep,Mumbai,Ola Electric,S1 Pro,2550,87,83,75756
2019,Sep,Mumbai,Ola Electric,Photon HX,1713,58,120,74172
2019,Sep,Mumbai,Ola Electric,Chetak,4809,98,63,123424
2019,Sep,Mumbai,Ola Electric,iQube,2611,72,58,119875
2019,Sep,Mumbai,Hero Electric,450X,2303,84,73,94730
2019,Sep,Mumbai,Hero Electric,S1 Pro,4596,66,96,65942
2019,Sep,Mumbai,Hero Electric,Photon HX,4609,51,61,74046
2019,Sep,Mumbai,Hero Electric,Chetak,2865,40,108,81815
2019,Sep,Mumbai,Hero Electric,iQube,1055,53,76,82414
2019,Sep,Mumbai,Bajaj,450X,3780,60,69,78378
2019,Sep,Mumbai,Bajaj,S1 Pro,2390,95,93,54660
2019,Sep,Mumbai,Bajaj,Photon HX,1186,45,126,64617
2019,Sep,Mumbai,Bajaj,Chetak,2211,41,59,48710
2019,Sep,Mumbai,Bajaj,iQube,2764,59,115,100642
2019,Sep,Mumbai,TVS,450X,2446,83,115,138674
2019,Sep,Mumbai,TVS,S1 Pro,1652,51,122,85250
2019,Sep,Mumbai,TVS,Photon HX,1288,72,66,47095
2019,Sep,Mumbai,TVS,Chetak,1232,84,73,50354
